category,title,review,rating,code
DVD,X-men origins - Wolverine - Edition simple,"Alors que les premiers X-men avaient l'affection du talentueux Brian Singer, ce wolverine sent le spin-off opportuniste décérébré.
 Il n'y pas de mal à ""débrancher son cerveau"" pourtant Wolverine n'a aucune cohésion, les scènes et les climax s'enchainent sans vraiment approfondir son sujet au point que le film devient risible malgré lui.
 Idéal pour une soirée ""DVD-pizza-bière"", il restera dans le panthéon des franchises Marvel au rabais.",2.0,0
DVD,X-men origins - Wolverine - Edition simple,"on attendait bien plus sur cette génèse; les effets numériques ne sont pas au service du film, trop nombreux et l'histoire est un peu fouillie.
 trop de coupes franches sur l'enfance et le premier siècle de la vie de Logan qui est réglé dans le générique de début.
 du bon divertissement cependant, un public trop jeune pourra être sensible à certaines scènes un peu violentes.",2.0,0
DVD,Harry Potter et le prince de sang-mêlé - Edition simple,"Une histoire qui s'éloigne du livre, des scènes rajoutées qui ne font pas avancer l'histoire, des éléments importants du tome 7 balancés à droite et à gauche et surtout un ton bebete qui ne quite pas le film, c'est le plus mauvais de tous. Fan des livres ET des films je me suis ennuyée au cinéma et j'en suis sortie décu.
 A présent je m'inquiète pour les prochains films adaptés du livre 7.",2.0,0
DVD,X-men origins - Wolverine [Blu-ray],"Wolverine est de retour, sans les X-Men et porté par le toujours aussi excellent Hugh Jackman.
 Logan et son demi-frère Victor sont des êtres livrés à eux-mêmes, des mutants, qui ont traversé de nombreuses guerres ensemble, grâce à leur pouvoir de regénération cellulaire qui les rend virtuellement immortels et leur octroie une jeunesse éternelle.
 Un jour, le militaire Stryker leur propose de rejoindre un groupe secret de mutants assassins, plutôt que de subir une énième exécution inutile pour trahison. Alors que Victor se sent à sa place, Logan se sent vite mal à l'aise et quitte le groupe peu de temps après, reprenant une vie normale et anonyme.
 Alors qu'il profite d'une vie paisible auprès de sa bien-aimée, Kayla, celle-ci est un jour assassinée par Victor, qui cherchait à provoquer son frère. Avide de vengeance, Logan libère la bête en lui et accepte l'offre de Stryker de participer à un mystérieux projet censé le transformer en arme de destruction. Il ne réalise cependant pas les véritables intentions de ce dernier.
 Alors, que vaut ce film qui augure des spin-off Origins (Magnéto, Deadpool, First Class, Wolverine 2...) ?
 Bah, pas grand chose. Alors que le potentiel est énorme, nous avons là un film qui peine même à accomplir sa fonction première: divertir. Mais surtout, le scénario est sans grande logique (c'est sûr, c'est pas aujourd'hui qu'on se prendra la tête) et accumule bon nombre de clichés mal venus. Mais le pire, c'est que Bryan Singer avait, dans X-Men 2, installé un séduisant mystère sur les origines du personnage qui augurait du meilleur. Ce film les gâche et gâcherait presque la vision de X-Men 2.
 La réalisation est moyenne. Quelques morceaux de bravoure bien prenants, mais d'autres qui tombent complètement à plat (notamment au début), des ralentis tape à l'oeil très clichés, des effets spéciaux parfois réussis, parfois très peu convaincants (le Blob)... Mais le pire, et là c'est tout à fait contraire à l'esprit du personnage, c'est que le film est très édulcoré: ne vous attendez pas à voir d'effusion de sang, tout ça reste très propre. Même après avoir enfoncé ses griffes dans la chair, elles restent bien grises et brillantes.
 Au niveau des acteurs, Hugh Jackman est toujours aussi excellent, Taylor Kitsch est formidable en Gambit (ce qui est d'autant plus surprenant vu le rôle qui lui a été écrit), et quelques autres bons interprètes. En revanche, d'autres comme Liev Schreiber ont tendance à beaucoup surjouer et ne convainquent pas.
 Le film fait aussi dans les caméos faciles de personnages connus. Ca ne sert pas à grand chose et on aurait pu amplement s'en passer, mais j'imagine que ça peut paraître alléchant sur le papier. Mais ne vous attendez pas à voir le Deadpool des comics par exemple, celui que vous découvrirez est tout simplement grotesque et incapable de balancer une seule vanne (ça recale d'office).
 En définitive, un blockbuster qui peut divertir lors d'un passage télé, mais rien qui ne vaille véritablement le détour, et une mauvaise addition à la saga X-Men dont c'est peut-être le plus mauvais opus.",2.0,0
DVD,Kaamelott : Livre VI - Coffret 4 DVD,"Grand fan de la période ""épisodes courts et drôles"" de cette série, que je trouve jubilatoire, le livre 6 me laisse sur ma faim, tout comme le livre précédent.
 Une fois passée la légère gêne liée au telescopage moyen-âge / rome antique, je me suis ennuyé.
 Les décors grandioses n'apportent rien. Une brève de comptoir dans 3 étoiles reste une brève de comptoir.
 L'écriture a perdu de son mordant et le passage à la fiction longue est assez fastidieux, je trouve que ca ne prend pas.
 Devant l'offre pléthorique en séries de qualité, Kaamelott souffre mal la comparaison et a perdu son originalité.",2.0,0
DVD,"Star Trek , le film 2009 [Blu-ray]","VRAIMENT PAS CONTENT
 Le son n est pas du tout a la hauteur du film
 Dolby digital (version francaise) meme pas du DTS 
 En V.O  D D TRUE HD  Comme d habitude au prix du (BLU- RAY)!!!
 C est le dernier Blu-Ray que j achete avec du( Dolby D )autant acheter en version DVD
 Malheureusement c est souvent le cas avec les (BLU-RAY) la pub sur  la   H D   HA! HA !HA!!!
 L image est belle 
 Encore heureux",1.0,0
DVD,Le 10ème royaume - Coffret Collector 3 DVD,"C'est un réel plaisir de replonger dans cette avanture fantastique au pays des contes de fée, troll et compagnie. Une histoire originale, des personnages attachants et même les méchants (une petite préférance pour Wolf !) que demander de plus...ah si plus de bonus, dommage !!! Amazoniens, Amazonniennes n'hésitez plus, plongez dans cette aventure unique...",4.0,0
DVD,LoL - Laughing out Loud,"J'ai trouvé ce film très moyen. Un ersatz de ""La Boum"" modernisé, mais sans talent. Les dialogues, tout comme le scenario, sont pauvres et pénibles. Un film pas drôle, sans grand intérêt.",1.0,0
DVD,LoL - Laughing out Loud,"ILS EN ONT FAIT DE LA PUBLICITE AUTOUR DE CE FILM, MAIS C'EST D'UN NUL, LA JEUNESSE DU 16è ENTRE SEXE ET DROGUE... ARRETEZ JE VAIS PLEURER .... INCOMPARABLE AVEC LA BOUM ! RIEN ON LE REGARDE JUSQU'AU BOUT CAR ON A PAYE MAIS MIEUX REGARDER UN VIEUX FILM DANS SON CANAPE.",1.0,0
DVD,Billy Elliot,"Dans la lignée de ""Full Monty"", ""My name is Joe"", ""Raining Stones"", avec l'humour de ""4 mariages et un enterrement"", du grand du très grand cinéma british, original, à l'humour fin, mélant avec bonheur  fable sociale, vie quotidienne, relations filiales ... Des films sur la vie, ses déboires, ses petits bonheurs, agrémentée de bandes originales absolument somptueuses, avec en prime des acteurs plus vrais que natures. Grand moment de cinéma. Et en prime : jetez vous sur la BO, disponible sur ce site (CD), et qui ne contient que des bonnes choses des années 80 !",5.0,0
DVD,James Bond : Quantum of Solace - Edition simple,"Alors le voilà, le dernier James Bond. Autant ""Casino Royale"" ( ) avait été un bon numéro, autant ici...
 Daniel Craig reste un Bond solide et crédible. La plupart des acteurs s'en tirent avec les honneurs, même Amalric. Mais alors, qu'est ce qui ne va pas ? En un mot, la réalisation. Trop rapide, trop hachée, trop saccadée, trop brusque, trop nerveuse, trop tendue. On y perd en tout : en compréhension des scènes, dont l'enchaînement est souvent confus, et de l'histoire en général, en jeu d'acteur, et on en ressort vaguement frustré.
 Le réalisateur, Marc Forster, a sans doute voulu s'éloigner du Bond traditionnel en se tournant vers la trilogie ""Jason Bourne"" ( ), entre autres, mais voilà, Bond c'est Bond, et si on tolère quelques évolutions, c'est du Bond qu'on veut, et rien d'autre.
 Enfin, bref... On attend malgré tout le prochain avec impatience.",2.0,0
DVD,James Bond : Quantum of Solace - Edition simple,"Un nouveau Bond, un nouveau souffle : CASINO ROYAL a non seulement été prometteur, mais plus encore il a offert un nouveau départ à la franchise Bond. La presse et le public y ont été très sensibles, à juste titre.
 D'où une grosse attente pour ce nouveau volet, suite directe de CASINO ROYALE (c'est la première fois qu'un Bond commence tout de suite à la fin du précédant, d'habitude, ils ont des histoires ""indépendantes""). Et d'où E-NOR-ME déception !!!
 Les James Bond Girls servent de pâle faire-valoir et, pour la première fois, Bond n'a aucune aventure amoureuse dans tout le film (où est passé le dragueur invétéré ?), et le sénario est d'une pauvreté affligeante...
 On s'attend alors à un pur film d'action (un peu comme CASINO ROYALE, puisque c'est la suite directe) : là encore, la déception est sans fin. De la violence, oui; des plans coupés dans tous les sens où ne sait plus trop ce qui se passe, oui; de la frénésie soulante, oui ! Mais passée l'incompréhension, on cherche en vain où cela va, et la surenchère tourne vite au ridicule. L'idée et le plan de base du ""méchant"" ne manquaient pas d'originalité, mais quel traitement bâclé et finalement sans intérêt.
 D'ailleur, le visuel est parfaitement à l'image du film : finit le pistolet, Bond est armé de l'artillerie lourde ! Oubliez la ruse, l'intelligence, le charme et le charisme (ou même le tactitien, comme son rôle de joueur de poker dans CASINO ROYALE) : le boucher est de sortie, ça va fliguer lourd et il va tout faire sauter sur son passage, sans mesure ni retenue.
 Et le titre est aussi à la mesure du contenu : pour des français, c'est incompréhensible, ça ne veut rien dire, un peu comme la frénésie d'action dénuée de sens qui s'écoule durant 1h46.
 Bref, un film mineur qui renvoit aux mauvais opus avec Timothy Dalton, donc à ne posseder que pour les fans inconditionnels (comme moi) qui veulent avoir la série complète. Et en attendant avec appréhension le prochain film...",1.0,0
DVD,"Apocalypse, la 2ème guerre mondiale [Blu-ray]","Ignore those lesser reviews and take my word for it as someone who has seen all of the best documentary series on World War 2 including the great 'The World at War', Ken Burns' 'The War' and all of the BBC series to date.  'Apocalypse' is a very good OVERVIEW of World War 2 and provides an accurate representation of the larger and more prominent events of the conflagration.  The series does not claim to be a conclusive and detailed representation and should not be viewed as such, but rather as a companion to the more detailed and of greater depth series such as the aforementioned 'The World at War' and Ken Burns ' The War' as well as the individual BBC series such as ' Nazi's: A warning from History', 'Auschwitz - The Nazis and 'The Final Solution', 'War of the Century - When Hitler Fought Stalin', 'The Road to War ', 'Battle of the Atlantic','D-Day to Berlin' and so on.
 'Apocalypse' can be considered a starter course after which viewers can choose to examine particular events in greater detail by looking at the series I mention above.  Many of the clips are ones I have not seen before and so add to my own library of World War 2 documentaries.
 I feel the series deserves 5 stars for effort.  Series such as these are now not shown during prime time television and so I applaud French television for showing this during peak time!
 Bravo!",5.0,0
DVD,Kaamelott : Livre 3 - L'Intégrale - Coffret 3 DVD,"Bon, comme d'habitude, c'est génial ! Drôle, rythmé, parfaitement interprété, bonus sympa, image de qualité en 16/9, bon son en 5.1.
 Je suis un inconditionnel, et la grande difficulté avec cette série, c'est d'appuyer sur la touche ""stop"" ! 
 Enfin, pour la première fois, il y a des instants dramatiques, les derniers épisodes annonçant des chamboulements. Vivement la suite !",5.0,0
